Date,Nav,Shares Outstanding,Total Net Assets,,,,,,,,,,
22-Sep-2006,131.386087,424600096.0,55786545295.98,,,,,,,,,,
21-Sep-2006,131.714224,425600096.0,56057586223.04,,,,,,,,,,
20-Sep-2006,132.398407,424600096.0,56216376367.04,,,,,,,,,,
19-Sep-2006,131.709289,423400096.0,55765725708.45,,,,,,,,,,
18-Sep-2006,131.994596,428300096.0,56533298267.45,,,,,,,,,,
15-Sep-2006,131.861381,439850096.0,57999241259.78,,,,,,,,,,
14-Sep-2006,132.083914,458100096.0,60507653788.47,,,,,,,,,,
13-Sep-2006,132.255916,462900096.0,61221276432.31,,,,,,,,,,
12-Sep-2006,131.723425,464900096.0,61238232896.35,,,,,,,,,,
11-Sep-2006,130.366528,426900096.0,55653483516.94,,,,,,,,,,
08-Sep-2006,130.297698,429400096.0,55949844101.34,,,,,,,,,,
07-Sep-2006,129.809172,431400096.0,55999689380.17,,,,,,,,,,
06-Sep-2006,130.42738,436400096.0,56918521160.29,,,,,,,,,,
05-Sep-2006,131.702844,441800096.0,58186329022.03,,,,,,,,,,
01-Sep-2006,131.472757,446300096.0,58676304031.89,,,,,,,,,,
31-Aug-2006,130.753857,444800096.0,58159328340.2,,,,,,,,,,
30-Aug-2006,130.796955,444800096.0,58178498296.84,,,,,,,,,,
29-Aug-2006,130.740237,436950096.0,57126958937.83,,,,,,,,,,
28-Aug-2006,130.470211,433350096.0,56539278660.86,,,,,,,,,,
25-Aug-2006,129.801526,433350096.0,56249503949.92,,,,,,,,,,
24-Aug-2006,129.886209,433350096.0,56286201003.46,,,,,,,,,,
23-Aug-2006,129.57719,430850096.0,55828344896.31,,,,,,,,,,
22-Aug-2006,130.148435,429500096.0,55898765124.24,,,,,,,,,,
21-Aug-2006,130.019341,430800096.0,56012344720.88,,,,,,,,,,
18-Aug-2006,130.497412,430800096.0,56218297481.11,,,,,,,,,,
17-Aug-2006,130.016488,428500096.0,55712077736.03,,,,,,,,,,
16-Aug-2006,129.805959,442300096.0,57413188320.32,,,,,,,,,,
15-Aug-2006,128.791174,446300096.0,57479513468.11,,,,,,,,,,
14-Aug-2006,127.045943,448300096.0,56954708231.77,,,,,,,,,,
11-Aug-2006,126.892289,450550096.0,57171333057.02,,,,,,,,,,
10-Aug-2006,127.380751,452000096.0,57576111702.32,,,,,,,,,,
09-Aug-2006,126.772865,454300096.0,57592924798.6,,,,,,,,,,
08-Aug-2006,127.29067,455400096.0,57968183330.57,,,,,,,,,,
07-Aug-2006,127.709507,451050096.0,57603385560.08,,,,,,,,,,
04-Aug-2006,128.063432,450850096.0,57737410399.26,,,,,,,,,,
03-Aug-2006,128.153706,450850096.0,57778110516.19,,,,,,,,,,
02-Aug-2006,127.942768,445350096.0,56979324166.6,,,,,,,,,,
01-Aug-2006,127.162016,446600096.0,56790568461.38,,,,,,,,,,
31-Jul-2006,127.731194,446576510.0,57041750751.72,,,,,,,,,,
28-Jul-2006,127.917907,448426510.0,57361780611.48,,,,,,,,,,
27-Jul-2006,126.380491,448426510.0,56672362438.29,,,,,,,,,,
26-Jul-2006,126.880139,436426510.0,55373856045.24,,,,,,,,,,
25-Jul-2006,126.926871,432926510.0,54950007429.6,,,,,,,,,,
24-Jul-2006,126.131141,437426510.0,55173104619.8,,,,,,,,,,
21-Jul-2006,124.068451,438326510.0,54382491141.2,,,,,,,,,,
20-Jul-2006,124.950246,439526510.0,54918945359.48,,,,,,,,,,
19-Jul-2006,126.016775,436126510.0,54959256486.47,,,,,,,,,,
18-Jul-2006,123.712356,436426510.0,53991351766.32,,,,,,,,,,
17-Jul-2006,123.473775,436426510.0,53887228580.98,,,,,,,,,,
14-Jul-2006,123.644184,438376510.0,54202705821.26,,,,,,,,,,
13-Jul-2006,124.253359,439576510.0,54618858114.14,,,,,,,,,,
12-Jul-2006,125.880612,439576510.0,55334159912.41,,,,,,,,,,
11-Jul-2006,127.257579,437876510.0,55723104701.72,,,,,,,,,,
10-Jul-2006,126.732053,437876510.0,55492989142.27,,,,,,,,,,
07-Jul-2006,126.54497,441626510.0,55885613292.36,,,,,,,,,,
06-Jul-2006,127.404969,438726510.0,55895937591.47,,,,,,,,,,
05-Jul-2006,127.055118,431676510.0,54846709738.87,,,,,,,,,,
03-Jul-2006,127.966997,431676510.0,55240346533.21,,,,,,,,,,
30-Jun-2006,126.957521,429476510.0,54525273168.28,,,,,,,,,,
29-Jun-2006,127.223324,429476510.0,54639429007.25,,,,,,,,,,
28-Jun-2006,124.534995,431776510.0,53771285340.95,,,,,,,,,,
27-Jun-2006,123.833031,430776510.0,53344360774.31,,,,,,,,,,
26-Jun-2006,124.966299,429276510.0,53645096822.92,,,,,,,,,,
23-Jun-2006,124.361496,425776510.0,52950203586.92,,,,,,,,,,
22-Jun-2006,124.470415,431576510.0,53718507359.41,,,,,,,,,,
21-Jun-2006,125.101032,433076510.0,54178318520.76,,,,,,,,,,
20-Jun-2006,123.892516,437426510.0,54193870995.91,,,,,,,,,,
19-Jun-2006,123.891889,427426510.0,52954677696.14,,,,,,,,,,
16-Jun-2006,125.030226,450926510.0,56379443239.56,,,,,,,,,,
15-Jun-2006,126.047862,473926510.0,59737423258.7,,,,,,,,,,
