Date,Discount
3-Oct-13,-0.02
2-Oct-13,-0.05
1-Oct-13,0
30-Sep-13,0.04
27-Sep-13,-0.01
26-Sep-13,0.01
25-Sep-13,0.03
24-Sep-13,0.03
23-Sep-13,0.02
20-Sep-13,0
19-Sep-13,0.01
18-Sep-13,0.01
17-Sep-13,0.02
16-Sep-13,0.01
13-Sep-13,0.01
12-Sep-13,0.04
11-Sep-13,0
10-Sep-13,0.01
9-Sep-13,-0.01
6-Sep-13,0
5-Sep-13,-0.02
4-Sep-13,0.01
3-Sep-13,0
30-Aug-13,-0.08
29-Aug-13,-0.02
28-Aug-13,0.04
27-Aug-13,-0.04
26-Aug-13,-0.01
23-Aug-13,-0.05
22-Aug-13,0
21-Aug-13,0.01
20-Aug-13,0.04
19-Aug-13,-0.07
16-Aug-13,0.01
15-Aug-13,-0.02
14-Aug-13,-0.02
13-Aug-13,0
12-Aug-13,0
9-Aug-13,0.01
8-Aug-13,-0.05
7-Aug-13,0.01
6-Aug-13,0
5-Aug-13,0
2-Aug-13,-0.02
1-Aug-13,-0.02
31-Jul-13,0.03
30-Jul-13,0.02
29-Jul-13,0.05
26-Jul-13,0.01
25-Jul-13,-0.02
24-Jul-13,-0.01
23-Jul-13,0.03
22-Jul-13,0
19-Jul-13,0.02
18-Jul-13,0.01
17-Jul-13,-0.04
16-Jul-13,0
15-Jul-13,0.02
12-Jul-13,-0.14
11-Jul-13,0
10-Jul-13,0
9-Jul-13,-0.02
8-Jul-13,-0.02
5-Jul-13,-0.02
3-Jul-13,-0.03
2-Jul-13,-0.06
1-Jul-13,0.02
28-Jun-13,-0.14
27-Jun-13,0
26-Jun-13,0.01
25-Jun-13,0.02
24-Jun-13,-0.01
21-Jun-13,0.07
20-Jun-13,-0.01
19-Jun-13,0.01
18-Jun-13,0.01
17-Jun-13,0
14-Jun-13,-0.02
13-Jun-13,0.02
12-Jun-13,0
11-Jun-13,0.02
10-Jun-13,0
7-Jun-13,0
6-Jun-13,-0.02
5-Jun-13,-0.05
4-Jun-13,-0.02
3-Jun-13,-0.04
31-May-13,-0.01
30-May-13,0
29-May-13,0.05
28-May-13,-0.02
24-May-13,0.02
23-May-13,0.03
22-May-13,0.01
21-May-13,0
20-May-13,0.02
17-May-13,-0.03
16-May-13,-0.01
15-May-13,-0.03
14-May-13,0.01
13-May-13,-0.01
10-May-13,-0.05
9-May-13,0.03
8-May-13,-0.01
7-May-13,-0.02
6-May-13,0.01
3-May-13,-0.05
2-May-13,-0.03
1-May-13,0.03
30-Apr-13,-0.03
29-Apr-13,-0.01
26-Apr-13,0.03
25-Apr-13,0.04
24-Apr-13,0.02
23-Apr-13,0
22-Apr-13,-0.01
19-Apr-13,-0.04
18-Apr-13,0.03
17-Apr-13,-0.06
16-Apr-13,-0.01
15-Apr-13,-0.05
12-Apr-13,-0.01
11-Apr-13,-0.04
10-Apr-13,-0.01
9-Apr-13,-0.03
8-Apr-13,-0.03
5-Apr-13,-0.01
4-Apr-13,-0.01
3-Apr-13,0.02
2-Apr-13,-0.04
1-Apr-13,0.01
28-Mar-13,-0.1
27-Mar-13,0.01
26-Mar-13,-0.03
25-Mar-13,0.04
22-Mar-13,0.04
21-Mar-13,0.01
20-Mar-13,0.01
19-Mar-13,0.02
18-Mar-13,-0.01
15-Mar-13,0.01
14-Mar-13,-0.02
13-Mar-13,-0.02
12-Mar-13,0.03
11-Mar-13,-0.01
8-Mar-13,-0.04
7-Mar-13,0
6-Mar-13,0
5-Mar-13,0.01
4-Mar-13,0.02
1-Mar-13,0
28-Feb-13,-0.11
27-Feb-13,0
26-Feb-13,0.03
25-Feb-13,-0.01
22-Feb-13,0.02
21-Feb-13,-0.04
20-Feb-13,-0.04
19-Feb-13,-0.04
15-Feb-13,0.01
14-Feb-13,0.01
13-Feb-13,0
12-Feb-13,0.01
11-Feb-13,0
8-Feb-13,-0.04
7-Feb-13,-0.01
6-Feb-13,-0.02
5-Feb-13,-0.02
4-Feb-13,0.02
1-Feb-13,-0.03
31-Jan-13,0.04
30-Jan-13,-0.02
29-Jan-13,0
28-Jan-13,0.09
25-Jan-13,0
24-Jan-13,0
23-Jan-13,0
22-Jan-13,-0.03
18-Jan-13,-0.09
17-Jan-13,-0.03
16-Jan-13,-0.07
15-Jan-13,-0.04
14-Jan-13,0.03
11-Jan-13,0.03
10-Jan-13,0.01
9-Jan-13,-0.01
8-Jan-13,-0.02
7-Jan-13,-0.01
4-Jan-13,-0.02
3-Jan-13,0.02
2-Jan-13,0.03
31-Dec-12,0.03
28-Dec-12,-0.06
27-Dec-12,0
26-Dec-12,-0.01
24-Dec-12,-0.03
21-Dec-12,0.04
20-Dec-12,-0.01
19-Dec-12,0
18-Dec-12,-0.01
17-Dec-12,0.03
14-Dec-12,0.04
13-Dec-12,0.04
12-Dec-12,0.01
11-Dec-12,0.02
10-Dec-12,0.01
7-Dec-12,-0.02
6-Dec-12,-0.02
5-Dec-12,-0.02
4-Dec-12,-0.01
3-Dec-12,0
30-Nov-12,-0.06
29-Nov-12,0.01
28-Nov-12,-0.01
27-Nov-12,0.06
26-Nov-12,0.02
23-Nov-12,-0.01
21-Nov-12,0
20-Nov-12,0.02
19-Nov-12,0.02
16-Nov-12,-0.01
15-Nov-12,-0.03
14-Nov-12,-0.01
13-Nov-12,0.03
12-Nov-12,0
9-Nov-12,-0.04
8-Nov-12,0.01
7-Nov-12,0
6-Nov-12,-0.05
5-Nov-12,0
2-Nov-12,0
1-Nov-12,-0.01
31-Oct-12,-0.07
26-Oct-12,0.01
25-Oct-12,0.01
24-Oct-12,0.02
23-Oct-12,-0.01
22-Oct-12,-0.03
19-Oct-12,-0.05
18-Oct-12,0.03
17-Oct-12,0.01
16-Oct-12,0
15-Oct-12,0
12-Oct-12,-0.04
11-Oct-12,0.04
10-Oct-12,0.01
9-Oct-12,0.02
8-Oct-12,0.02
5-Oct-12,0.02
4-Oct-12,0.05
3-Oct-12,0.01
2-Oct-12,-0.03
